Time	Ch0	Gen
2.64e-05	0.1667442	-0.8625943
2.68e-05	0.2087078	-0.8194678
2.72e-05	0.1667442	-0.8194678
2.76e-05	0.2087078	-0.8194678
2.8e-05	0.2087078	-0.7763412
2.84e-05	0.2087078	-0.7763412
2.88e-05	0.2506713	-0.8194678
2.92e-05	0.2506713	-0.7763412
2.96e-05	0.2087078	-0.7763412
3e-05	0.2506713	-0.7763412
3.04e-05	0.2506713	-0.7332147
3.08e-05	0.2926349	-0.7763412
3.12e-05	0.2926349	-0.7763412
3.16e-05	0.2926349	-0.7332147
3.2e-05	0.2926349	-0.7763412
3.24e-05	0.2926349	-0.7763412
3.28e-05	0.3345984	-0.7332147
3.32e-05	0.3345984	-0.7763412
3.36e-05	0.3345984	-0.7332147
3.4e-05	0.3345984	-0.7332147
3.44e-05	0.3345984	-0.7763412
3.48e-05	0.3345984	-0.6900882
3.52e-05	0.376562	-0.6900882
3.56e-05	0.376562	-0.6900882
3.6e-05	0.376562	-0.6900882
3.64e-05	0.376562	-0.6900882
3.68e-05	0.4185255	-0.6469617
3.72e-05	0.4185255	-0.6900882
3.76e-05	0.4185255	-0.6900882
3.8e-05	0.4185255	-0.6900882
3.84e-05	0.4604891	-0.6900882
3.88e-05	0.4604891	-0.6469617
3.92e-05	0.4604891	-0.6469617
3.96e-05	0.4604891	-0.6900882
4e-05	0.5024526	-0.6038351
4.04e-05	0.5024526	-0.6038351
4.08e-05	0.5024526	-0.6038351
4.12e-05	0.5024526	-0.6038351
4.16e-05	0.5024526	-0.6038351
4.2e-05	0.5024526	-0.6038351
4.24e-05	0.5024526	-0.6038351
4.28e-05	0.5444161	-0.5607086
4.32e-05	0.5024526	-0.6038351
4.36e-05	0.5444161	-0.6038351
4.4e-05	0.5444161	-0.6038351
4.44e-05	0.5863797	-0.5175821
4.48e-05	0.5444161	-0.5175821
4.52e-05	0.5863797	-0.5175821
4.56e-05	0.6283432	-0.4744556
4.6e-05	0.5863797	-0.5175821
4.64e-05	0.5863797	-0.5175821
4.68e-05	0.6283432	-0.5175821
4.72e-05	0.6283432	-0.5175821
4.76e-05	0.6283432	-0.4744556
4.8e-05	0.6283432	-0.5175821
4.84e-05	0.6703068	-0.4744556
4.88e-05	0.6703068	-0.4744556
4.92e-05	0.6703068	-0.4744556
4.96e-05	0.6703068	-0.4744556
5e-05	0.6703068	-0.431329
5.04e-05	0.7122703	-0.4744556
5.08e-05	0.7122703	-0.431329
5.12e-05	0.7122703	-0.431329
5.16e-05	0.7122703	-0.431329
5.2e-05	0.7542339	-0.431329
5.24e-05	0.7542339	-0.431329
5.28e-05	0.7542339	-0.431329
5.32e-05	0.7542339	-0.431329
5.36e-05	0.7542339	-0.431329
5.4e-05	0.7961974	-0.431329
5.44e-05	0.7961974	-0.431329
5.48e-05	0.7961974	-0.3882025
5.52e-05	0.838161	-0.3882025
5.56e-05	0.838161	-0.345076
5.6e-05	0.838161	-0.345076
5.64e-05	0.838161	-0.345076
5.68e-05	0.838161	-0.3882025
5.72e-05	0.838161	-0.3019495
5.76e-05	0.8801245	-0.345076
5.8e-05	0.8801245	-0.345076
5.84e-05	0.8801245	-0.345076
5.88e-05	0.8801245	-0.345076
5.92e-05	0.8801245	-0.3019495
5.96e-05	0.9220881	-0.3019495
6e-05	0.9220881	-0.3019495
6.04e-05	0.9220881	-0.3019495
6.08e-05	0.9220881	-0.3019495
6.12e-05	0.9220881	-0.2588229
6.16e-05	0.9220881	-0.2588229
6.2e-05	0.9220881	-0.2588229
6.24e-05	0.9640516	-0.2588229
6.28e-05	0.9640516	-0.2588229
6.32e-05	1.006015	-0.2588229
6.36e-05	1.006015	-0.2588229
6.4e-05	1.006015	-0.2156964
6.44e-05	1.006015	-0.2588229
6.48e-05	1.006015	-0.2156964
6.52e-05	1.006015	-0.2156964
6.56e-05	1.047979	-0.2156964
6.6e-05	1.006015	-0.1725699
6.64e-05	1.047979	-0.1725699
6.68e-05	1.047979	-0.1725699
6.72e-05	1.047979	-0.1725699
6.76e-05	1.047979	-0.1725699
6.8e-05	1.047979	-0.1725699
6.84e-05	1.089942	-0.1725699
6.88e-05	1.089942	-0.1725699
6.92e-05	1.089942	-0.1725699
6.96e-05	1.089942	-0.1294434
7e-05	1.089942	-0.1294434
7.04e-05	1.089942	-0.08631685
7.08e-05	1.089942	-0.08631685
7.12e-05	1.131906	-0.1294434
7.16e-05	1.131906	-0.1294434
7.2e-05	1.173869	-0.08631685
7.24e-05	1.173869	-0.1294434
7.28e-05	1.173869	-0.08631685
7.32e-05	1.173869	-0.08631685
7.36e-05	1.173869	-0.08631685
7.4e-05	1.173869	-0.08631685
7.44e-05	1.173869	-0.04319033
7.48e-05	1.173869	-0.08631685
7.52e-05	1.215833	-0.04319033
7.56e-05	1.215833	-0.04319033
7.6e-05	1.215833	-0.08631685
7.64e-05	1.215833	-0.04319033
7.68e-05	1.215833	-6.380677e-05
7.72e-05	1.215833	-6.380677e-05
7.76e-05	1.257796	-6.380677e-05
7.8e-05	1.257796	-6.380677e-05
7.84e-05	1.257796	-6.380677e-05
7.88e-05	1.257796	-6.380677e-05
7.92e-05	1.257796	0.04306272
7.96e-05	1.29976	0.08618924
8e-05	1.29976	0.04306272
