Frequency	dBVrms
62250.000000	-49.679639
62500.000000	-49.622367
62750.000000	-49.629778
63000.000000	-49.534118
63250.000000	-49.541480
63500.000000	-49.234466
63750.000000	-49.121645
64000.000000	-49.360693
64250.000000	-49.289871
64500.000000	-48.866204
64750.000000	-48.411142
65000.000000	-48.338961
65250.000000	-48.387927
65500.000000	-48.819388
65750.000000	-48.475957
66000.000000	-48.244155
66250.000000	-47.981432
66500.000000	-47.886503
66750.000000	-47.914028
67000.000000	-47.786967
67250.000000	-46.921307
67500.000000	-47.592612
67750.000000	-47.004485
68000.000000	-47.091867
68250.000000	-47.089151
68500.000000	-46.176258
68750.000000	-46.521304
69000.000000	-46.520568
69250.000000	-45.629088
69500.000000	-45.936886
69750.000000	-45.653026
70000.000000	-45.324405
70250.000000	-45.518834
70500.000000	-45.149298
70750.000000	-44.694854
71000.000000	-44.403940
71250.000000	-44.357580
71500.000000	-44.010178
71750.000000	-43.792955
72000.000000	-43.906635
72250.000000	-42.688787
72500.000000	-43.193172
72750.000000	-42.609699
73000.000000	-42.800140
73250.000000	-42.513926
73500.000000	-41.889892
73750.000000	-41.989706
74000.000000	-41.772013
74250.000000	-40.658453
74500.000000	-41.020239
74750.000000	-40.676514
75000.000000	-40.228376
75250.000000	-40.322801
75500.000000	-39.745775
75750.000000	-39.280088
76000.000000	-38.958830
76250.000000	-38.555798
76500.000000	-38.193557
76750.000000	-38.465515
77000.000000	-37.787437
77250.000000	-36.884562
77500.000000	-36.707273
77750.000000	-37.044134
78000.000000	-35.954193
78250.000000	-36.243710
78500.000000	-35.723910
78750.000000	-35.090924
79000.000000	-34.669657
79250.000000	-34.520328
79500.000000	-34.269986
79750.000000	-33.810693
80000.000000	-32.946065
80250.000000	-32.752134
80500.000000	-32.231319
80750.000000	-31.399879
81000.000000	-31.976771
81250.000000	-31.057771
81500.000000	-29.947334
81750.000000	-30.186228
82000.000000	-29.722137
82250.000000	-29.550012
82500.000000	-28.463949
82750.000000	-28.749282
83000.000000	-27.628593
83250.000000	-27.352051
83500.000000	-26.525872
83750.000000	-26.558761
84000.000000	-25.700686
84250.000000	-25.199356
84500.000000	-25.125208
84750.000000	-23.832424
85000.000000	-23.494843
85250.000000	-23.387433
85500.000000	-22.391456
85750.000000	-22.358717
86000.000000	-21.948471
86250.000000	-21.331234
86500.000000	-20.934357
86750.000000	-19.908925
87000.000000	-19.562976
87250.000000	-19.166813
87500.000000	-18.457181
87750.000000	-18.536413
88000.000000	-18.298622
88250.000000	-18.062605
88500.000000	-17.710959
