Frequency	dBVrms
2975.000000	-58.584894
2987.500000	-60.116283
3000.000000	-61.976795
3012.500000	-63.035570
3025.000000	-63.809588
3037.500000	-65.389328
3050.000000	-66.950852
3062.500000	-66.320548
3075.000000	-64.769198
3087.500000	-64.090093
3100.000000	-64.818478
3112.500000	-65.011486
3125.000000	-63.418793
3137.500000	-61.755874
3150.000000	-61.231017
3162.500000	-62.022571
3175.000000	-62.785186
3187.500000	-62.708370
3200.000000	-60.818954
3212.500000	-58.676973
3225.000000	-58.634699
3237.500000	-60.539622
3250.000000	-62.544332
3262.500000	-63.368058
3275.000000	-62.059699
3287.500000	-60.639393
3300.000000	-59.911770
3312.500000	-59.875286
3325.000000	-60.183120
3337.500000	-58.014231
3350.000000	-55.901266
3362.500000	-56.115797
3375.000000	-58.254097
3387.500000	-60.695330
3400.000000	-62.114872
3412.500000	-62.290856
3425.000000	-61.446363
3437.500000	-60.876593
3450.000000	-61.012975
3462.500000	-61.181896
3475.000000	-61.662792
3487.500000	-62.155731
3500.000000	-61.674910
3512.500000	-61.690926
3525.000000	-62.815954
3537.500000	-62.985986
3550.000000	-62.616522
3562.500000	-62.919804
3575.000000	-63.547738
3587.500000	-63.776352
3600.000000	-63.728548
3612.500000	-62.105821
3625.000000	-59.856464
3637.500000	-58.757356
3650.000000	-59.502996
3662.500000	-61.922176
3675.000000	-62.497557
3687.500000	-59.913782
3700.000000	-58.176715
3712.500000	-58.358227
3725.000000	-60.269323
3737.500000	-61.098143
3750.000000	-60.770630
3762.500000	-60.861653
3775.000000	-60.734190
3787.500000	-58.899416
3800.000000	-56.576864
3812.500000	-55.957908
3825.000000	-57.719630
3837.500000	-60.778166
3850.000000	-62.345682
3862.500000	-61.765691
3875.000000	-61.319222
3887.500000	-61.902320
3900.000000	-62.113447
3912.500000	-62.453372
3925.000000	-64.356041
3937.500000	-66.302042
3950.000000	-63.156675
3962.500000	-60.456566
3975.000000	-59.693092
3987.500000	-59.779229
4000.000000	-60.470062
4012.500000	-61.833154
4025.000000	-62.995988
4037.500000	-63.626916
4050.000000	-63.753446
4062.500000	-62.885933
4075.000000	-62.196353
4087.500000	-62.163677
4100.000000	-62.414341
4112.500000	-63.560368
4125.000000	-65.874002
4137.500000	-64.946450
4150.000000	-62.820576
4162.500000	-62.350985
4175.000000	-62.656499
4187.500000	-64.126722
4200.000000	-65.741399
4212.500000	-64.430925
4225.000000	-62.121483
4237.500000	-61.304552
4250.000000	-62.159497
4262.500000	-63.345981
4275.000000	-63.551703
4287.500000	-62.980300
4300.000000	-63.295056
4312.500000	-64.414727
4325.000000	-63.230181
4337.500000	-61.114806
4350.000000	-59.975118
4362.500000	-59.555463
4375.000000	-60.245806
4387.500000	-61.431350
4400.000000	-60.557439
4412.500000	-60.091100
4425.000000	-61.697639
4437.500000	-63.951406
4450.000000	-64.648352
4462.500000	-63.457515
4475.000000	-61.860017
4487.500000	-62.253846
4500.000000	-61.932793
4512.500000	-60.511760
4525.000000	-60.695752
4537.500000	-62.284161
4550.000000	-63.244911
