waveform	Source signal	
t0	2/25/2020  12:10:15.106203	
delta t	1.250000E-5	

time[0]	Source signal
2/25/2020  12:10:15.108165	-6.949391E-1
2/25/2020  12:10:15.108178	-1.410969E-2
2/25/2020  12:10:15.108190	5.816160E-1
2/25/2020  12:10:15.108203	-9.502501E-1
2/25/2020  12:10:15.108215	9.220307E-1
2/25/2020  12:10:15.108228	-3.545244E-1
2/25/2020  12:10:15.108240	-3.545244E-1
2/25/2020  12:10:15.108253	9.220307E-1
2/25/2020  12:10:15.108265	-8.651464E-1
2/25/2020  12:10:15.108278	1.560977E-1
2/25/2020  12:10:15.108290	6.667197E-1
2/25/2020  12:10:15.108303	-9.502501E-1
2/25/2020  12:10:15.108315	2.412013E-1
2/25/2020  12:10:15.108328	8.369271E-1
2/25/2020  12:10:15.108340	-7.800428E-1
2/25/2020  12:10:15.108353	-4.396281E-1
2/25/2020  12:10:15.108365	9.220307E-1
2/25/2020  12:10:15.108378	2.412013E-1
2/25/2020  12:10:15.108390	-1.035354E+0
2/25/2020  12:10:15.108403	-1.843170E-1
2/25/2020  12:10:15.108415	1.007134E+0
2/25/2020  12:10:15.108428	3.263050E-1
2/25/2020  12:10:15.108440	-9.502501E-1
2/25/2020  12:10:15.108453	-4.396281E-1
2/25/2020  12:10:15.108465	8.369271E-1
2/25/2020  12:10:15.108478	4.965124E-1
2/25/2020  12:10:15.108490	-8.651464E-1
2/25/2020  12:10:15.108503	-4.396281E-1
2/25/2020  12:10:15.108515	9.220307E-1
2/25/2020  12:10:15.108528	7.099399E-2
2/25/2020  12:10:15.108540	-1.035354E+0
2/25/2020  12:10:15.108553	4.114087E-1
2/25/2020  12:10:15.108565	5.816160E-1
2/25/2020  12:10:15.108578	-9.502501E-1
2/25/2020  12:10:15.108590	3.263050E-1
2/25/2020  12:10:15.108603	4.965124E-1
2/25/2020  12:10:15.108615	-9.502501E-1
2/25/2020  12:10:15.108628	8.369271E-1
2/25/2020  12:10:15.108640	-1.843170E-1
2/25/2020  12:10:15.108653	-5.247317E-1
2/25/2020  12:10:15.108665	9.220307E-1
2/25/2020  12:10:15.108678	-9.502501E-1
2/25/2020  12:10:15.108690	4.965124E-1
2/25/2020  12:10:15.108703	2.412013E-1
2/25/2020  12:10:15.108715	-7.800428E-1
2/25/2020  12:10:15.108728	9.220307E-1
2/25/2020  12:10:15.108740	-6.098354E-1
2/25/2020  12:10:15.108753	-2.694207E-1
2/25/2020  12:10:15.108765	9.220307E-1
2/25/2020  12:10:15.108778	-7.800428E-1
2/25/2020  12:10:15.108790	-1.843170E-1
2/25/2020  12:10:15.108803	9.220307E-1
2/25/2020  12:10:15.108815	-5.247317E-1
2/25/2020  12:10:15.108828	-6.949391E-1
2/25/2020  12:10:15.108840	7.518234E-1
2/25/2020  12:10:15.108853	4.114087E-1
2/25/2020  12:10:15.108865	-9.502501E-1
2/25/2020  12:10:15.108878	-3.545244E-1
2/25/2020  12:10:15.108890	9.220307E-1
2/25/2020  12:10:15.108903	4.114087E-1
2/25/2020  12:10:15.108915	-8.651464E-1
2/25/2020  12:10:15.108928	-6.098354E-1
2/25/2020  12:10:15.108940	7.518234E-1
2/25/2020  12:10:15.108953	6.667197E-1
2/25/2020  12:10:15.108965	-6.949391E-1
2/25/2020  12:10:15.108978	-6.098354E-1
2/25/2020  12:10:15.108990	8.369271E-1
2/25/2020  12:10:15.109003	4.114087E-1
2/25/2020  12:10:15.109015	-1.035354E+0
2/25/2020  12:10:15.109028	1.560977E-1
2/25/2020  12:10:15.109040	8.369271E-1
2/25/2020  12:10:15.109053	-8.651464E-1
2/25/2020  12:10:15.109065	-9.921336E-2
2/25/2020  12:10:15.109078	8.369271E-1
2/25/2020  12:10:15.109090	-9.502501E-1
2/25/2020  12:10:15.109103	3.263050E-1
2/25/2020  12:10:15.109115	4.114087E-1
2/25/2020  12:10:15.109128	-8.651464E-1
2/25/2020  12:10:15.109140	9.220307E-1
2/25/2020  12:10:15.109153	-6.098354E-1
2/25/2020  12:10:15.109165	-1.410969E-2
2/25/2020  12:10:15.109178	6.667197E-1
2/25/2020  12:10:15.109190	-9.502501E-1
2/25/2020  12:10:15.109203	7.518234E-1
2/25/2020  12:10:15.109215	-9.921336E-2
2/25/2020  12:10:15.109228	-6.949391E-1
2/25/2020  12:10:15.109240	1.007134E+0
2/25/2020  12:10:15.109253	-5.247317E-1
2/25/2020  12:10:15.109265	-5.247317E-1
2/25/2020  12:10:15.109278	9.220307E-1
2/25/2020  12:10:15.109290	-1.843170E-1
2/25/2020  12:10:15.109303	-8.651464E-1
2/25/2020  12:10:15.109315	6.667197E-1
2/25/2020  12:10:15.109328	5.816160E-1
2/25/2020  12:10:15.109340	-8.651464E-1
2/25/2020  12:10:15.109353	-6.098354E-1
