Frequency	dBVrms
1512.500000	-30.263335
1525.000000	-30.753646
1537.500000	-30.306743
1550.000000	-30.405809
1562.500000	-30.402971
1575.000000	-30.452635
1587.500000	-30.309582
1600.000000	-30.815839
1612.500000	-30.713024
1625.000000	-30.503798
1637.500000	-30.594987
1650.000000	-30.603593
1662.500000	-30.801943
1675.000000	-30.617681
1687.500000	-30.307550
1700.000000	-30.379826
1712.500000	-30.589865
1725.000000	-30.695508
1737.500000	-30.493287
1750.000000	-30.474210
1762.500000	-30.550560
1775.000000	-30.692979
1787.500000	-30.811477
1800.000000	-30.597221
1812.500000	-30.391847
1825.000000	-31.002223
1837.500000	-30.618557
1850.000000	-31.041191
1862.500000	-31.012162
1875.000000	-30.604359
1887.500000	-30.667567
1900.000000	-31.035834
1912.500000	-30.909078
1925.000000	-30.790820
1937.500000	-30.375531
1950.000000	-30.870545
1962.500000	-30.842099
1975.000000	-30.697747
1987.500000	-30.949091
2000.000000	-30.784605
2012.500000	-30.905070
2025.000000	-30.896206
2037.500000	-31.177730
2050.000000	-30.567006
2062.500000	-31.436430
2075.000000	-30.899171
2087.500000	-31.931027
2100.000000	-31.250171
2112.500000	-31.718720
2125.000000	-31.312109
2137.500000	-30.922852
2150.000000	-31.555261
2162.500000	-31.600400
2175.000000	-30.984973
2187.500000	-31.135224
2200.000000	-30.915125
2212.500000	-31.726299
2225.000000	-30.995834
2237.500000	-31.348399
2250.000000	-31.529766
2262.500000	-30.957222
2275.000000	-31.245989
2287.500000	-31.695915
2300.000000	-31.012380
2312.500000	-31.066782
2325.000000	-31.237091
2337.500000	-32.163685
2350.000000	-30.925866
2362.500000	-31.587329
2375.000000	-31.290537
2387.500000	-32.045939
2400.000000	-31.691976
2412.500000	-31.449801
2425.000000	-31.604487
2437.500000	-31.066799
2450.000000	-31.833413
2462.500000	-32.068394
2475.000000	-31.544266
2487.500000	-32.442472
2500.000000	-32.154890
2512.500000	-31.584767
2525.000000	-31.693916
2537.500000	-31.448125
2550.000000	-32.241595
2562.500000	-31.458629
2575.000000	-31.519839
2587.500000	-31.466876
2600.000000	-31.635251
2612.500000	-31.870269
2625.000000	-31.942796
2637.500000	-32.013179
2650.000000	-31.832581
2662.500000	-31.493264
2675.000000	-31.864580
2687.500000	-31.457665
2700.000000	-31.474809
2712.500000	-32.349795
2725.000000	-32.109127
2737.500000	-31.924825
2750.000000	-31.696846
2762.500000	-31.940847
2775.000000	-32.429068
2787.500000	-32.054832
2800.000000	-31.875808
2812.500000	-31.350965
2825.000000	-32.370161
2837.500000	-31.757545
2850.000000	-32.355228
2862.500000	-31.906139
2875.000000	-32.040338
2887.500000	-32.273165
2900.000000	-31.815440
2912.500000	-31.832198
2925.000000	-32.117017
2937.500000	-32.514879
2950.000000	-32.410726
2962.500000	-31.854554
2975.000000	-32.264938
2987.500000	-32.965461
3000.000000	-32.392296
3012.500000	-32.157167
3025.000000	-31.954922
3037.500000	-32.467559
3050.000000	-32.566537
3062.500000	-32.779440
3075.000000	-31.906764
3087.500000	-32.294544
3100.000000	-32.139071
3112.500000	-32.301523
3125.000000	-32.212764
3137.500000	-32.202025
3150.000000	-32.756918
3162.500000	-32.132846
3175.000000	-32.506620
3187.500000	-32.560819
3200.000000	-32.306947
3212.500000	-32.454218
3225.000000	-32.207084
3237.500000	-32.749840
3250.000000	-32.152231
3262.500000	-32.349611
3275.000000	-32.525695
3287.500000	-32.739490
3300.000000	-33.166515
3312.500000	-32.795997
3325.000000	-32.802303
3337.500000	-32.127623
3350.000000	-32.738891
3362.500000	-33.256514
3375.000000	-32.574580
3387.500000	-32.843949
